Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotau|gf_d|gf_u|D50_d|D50_u|Ac|Rc|Gc|Lm0|Kr|Kt|q
G-3.232|1000.0|0.515|0.104|1.524|60.0|0.485|0.13|0.0|0.0|2.0|2.0|0.47|0.47|0.04|0.04|0.1|0.1|0.13|3.6262611153557653|0|0|1
F-25.17|50.0|0.21|0.138|2.3363636364|0.0|0.21|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.31|0.31|0.0|8.52255897909781|0|0|1
E-15.228|20.0|0.47|0.08721|1.096|0.0|0.44|0.0|0.04|0.4|1.25|1.25|0.4|0.4|0.0198|0.0198|0.11|0.11|0.24|1.8754705430277379|0|0|1
F-33.36|50.0|0.3|0.08|1.17628458|0.0|0.139|0.36|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.176|0.176|0.0|2.1602994085579508|0|0|1
F-31.5|10.0|0.088|0.06958|1.325|0.0|0.088|0.0|0.0|0.0|0.1|0.1|1.0|1.0|0.0|0.0|0.147|0.147|0.0|2.741074854233603|0|0|1
G-15.150|1000.0|0.72|0.114|1.2727273|15.0|0.72|0.0|0.0|0.0|4.0|4.0|1.0|1.0|0.0|0.0|0.15|0.15|0.0|2.529064227226254|0|0|1
B-10.11|1000.0|0.61|0.16|1.5177865613|0.0|0.61|0.0|0.0|0.0|2.0|2.0|0.55|0.55|0.075|0.075|0.3|0.3|0.1466666667|3.5967524278059475|0|0|1
G-2.147|1000.0|0.455|0.1326|1.62|25.0|0.425|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.16|0.16|0.13|4.0975019423001315|0|0|1
G-2.76|1000.0|0.455|0.09096|1.056|10.0|0.425|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.16|0.16|0.13|1.7410729789394908|0|0|1
E-48.83|111.1111|0.547|0.07952|1.247|0.0|0.547|0.0|-0.03933|0.0|2.0|50.0|1.0|1.0|0.0|0.0|0.046|0.106337|0.0|2.4278510889323983|0|0|1
E-15.620|20.0|0.27|0.1238|1.464|0.0|0.24|0.0|0.04|0.4|1.25|1.25|0.4|0.4|0.0198|0.0198|0.11|0.11|0.31|3.3463494600381427|0|0|1
A-36.18|500.0|0.308|0.14|2.0309090909|0.0|0.168|0.24|0.0|0.0|2.0|2.0|0.4|0.4|0.068942|0.068942|0.236|0.284|0.36|6.439766288449704|0|0|1
A-41.56|30.7865169|0.3|0.1216|2.253|0.0|0.3|0.0|0.0|0.0|4.0|4.0|0.4|0.4|0.0625|0.0625|0.125|0.125|0.2|7.9252235698189875|0|0|1
A-41.150|79.2994128|0.3|0.1518|1.726|0.0|0.3|0.0|0.0|0.0|4.0|4.0|0.4|0.4|0.0625|0.0625|0.125|0.125|0.2|4.65126112492749|0|0|1
D-29.3|1000.0|4.5|1.224|4.5454545455|0.0|4.5|0.0|0.0|0.0|6.0|6.0|1.0|1.0|0.0|0.0|1.8|1.8|0.0|32.25847090418842|0|0|1
F-47.2|1000.0|0.6|0.2293333333|1.4937887932|0.0|0.5|0.1666666667|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.1|0.2666666667|0.1016666667|3.4839148576017602|0|0|1
G-24.32|20.0|0.16|0.04964|0.8718182|30.0|0.08|0.4|0.0|0.0|1.0|1.0|1.0|1.0|0.0|0.0|0.1|0.1|0.0|1.1867001606590606|0|0|1
A-38.2|100.0|0.25|0.0729|1.1|0.0|0.19|0.1|0.0|0.0|2.25|2.25|0.4|0.4|0.031|0.031|0.132|0.132|0.2|1.8891850899951073|0|0|1
E-15.392|20.0|0.47|0.1635|1.624|0.0|0.44|0.0|0.04|0.4|1.25|1.25|0.4|0.4|0.0388|0.0388|0.17|0.17|0.31|4.117761500752839|0|0|1
F-33.64|10.0|0.237|0.08700481|1.18762318|0.0|0.158|0.36|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.168|0.168|0.0|2.2021478318592136|0|0|1
G-2.13|1000.0|0.515|0.126|1.278|10.0|0.485|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.1|0.1|0.13|2.5500626285351804|0|0|1
F-38.17|1000.0|0.6|0.06|1.7272727|0.0|0.45|0.15|0.0|0.0|0.0|1.7320508|1.0|1.0|0.0|0.0|0.15|0.15|0.0|4.658123051373019|0|0|1
D-21.31|52.0|0.4|0.158|1.3090909091|0.0|0.4|0.0|-0.155|0.0|2.0|0.0|1.0|1.0|0.0|0.0|0.3|0.3|0.0|2.6756466106606536|0|0|1
D-32.54|100.0|0.074|0.0462371134|8.6825619277|0.0|0.074|0.0|0.0|0.0|4.0|4.0|1.0|1.0|0.0|0.0|0.066|0.066|0.0|117.70229153181526|0|0|1
D-32.52|100.0|0.149|0.087283|2.67|0.0|0.149|0.0|0.0|0.0|4.0|4.0|1.0|1.0|0.0|0.0|0.201|0.201|0.0|11.130422800054644|0|0|1
A-39.59|1000.0|0.59|0.1459|1.63636364|0.0|0.59|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.06|0.06|0.11|0.11|0.18|4.180697847680084|0|0|1
D-32.68|1000.0|0.5|0.138|2.0272727273|0.0|0.5|0.0|0.0|0.0|3.0|3.0|1.0|1.0|0.0|0.0|0.47|0.47|0.0|6.416725998421858|0|0|1
E-48.44|111.1111|0.4|0.1563|1.66|0.0|0.4|0.0|-0.18365|0.0|2.0|50.0|1.0|1.0|0.0|0.0|0.187|0.226699|0.0|4.302345813215303|0|0|1
F-11.36|1000.0|0.85|0.104|1.513487753192394|0.0|0.85|0.0|0.3|1.3333333333333333|2.0|0.0|1.0|1.0|0.0|0.0|0.03333333333333333|0.03333333333333333|0.0|3.5764072055832012|0|0|1
A-35.211|1000.0|0.75|0.18|2.1545454545|0.0|0.75|0.0|0.0|0.0|2.0|2.0|0.55|0.55|0.051|0.051|0.35|0.35|0.204|7.247704208418673|0|0|1
A-38.68|100.0|0.4|0.1202|1.38181818|0.0|0.34|0.1|0.0|0.0|2.0|2.0|0.4|0.4|0.037|0.037|0.132|0.132|0.2|2.981198839176593|0|0|1
E-15.629|20.0|0.27|0.1225|1.599|0.0|0.24|0.0|0.04|0.5|1.25|1.25|0.4|0.4|0.0198|0.0198|0.17|0.17|0.31|3.9919589481690743|0|0|1
E-15.281|20.0|0.47|0.1313|1.449|0.0|0.44|0.0|0.04|0.65|1.25|1.25|0.4|0.4|0.0198|0.0198|0.11|0.11|0.24|3.2781280199494356|0|0|1
D-45.65|111.1111|0.547|0.08371|1.224|0.0|0.547|0.0|0.0|0.0|2.0|2.0|1.0|1.0|0.0|0.0|0.03|0.093|0.0|2.339117158172322|0|0|1
D-43.253|1000.0|0.55|0.1314|1.568|0.0|0.55|0.0|0.0|0.0|0.83909963117728|0.83909963117728|1.0|1.0|0.0|0.0|0.019999999999999907|0.019999999999999907|0.0|3.8386742171108517|0|0|1
F-21.46|50.0|0.61|0.26|2.149|0.0|0.61|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.193|0.193|0.0|7.210443365124374|0|0|1
D-9.63|100.0|0.353|0.124|1.99|0.0|0.353|0.0|0.0|0.0|2.5|2.5|1.0|1.0|0.0|0.0|0.4|0.4|0.0|6.182943698255887|0|0|1
C-30.9|50.0|0.405|0.129|1.2616600791|0.0|0.405|0.0|0.0|0.0|2.0|2.0|0.47|0.47|0.047|0.047|0.10125|0.162|0.351|2.4852716288052155|0|0|1
A-42.20|50.0|0.405|0.129|1.2616600791|0.0|0.405|0.0|0.0|0.0|1.3333333333|1.3333333333|0.4|0.4|0.04698|0.04698|0.081|0.1917|0.1485|2.4852716288052155|0|0|1
F-28.40|1000.0|0.69|0.17|1.992133289|0.0|0.345|0.1|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.305|0.305|0.0|6.196207090870995|0|0|1
E-15.90|20.0|0.47|0.08241|1.176|0.0|0.44|0.0|0.04|0.3|1.25|1.25|0.4|0.4|0.0198|0.0198|0.11|0.11|0.17|2.1592542471248533|0|0|1
G-4.59|1000.0|0.455|0.129|1.543|0.0|0.425|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.16|0.16|0.13|3.7172433325039345|0|0|1
E-15.305|20.0|0.47|0.1207|1.59|0.0|0.44|0.0|-0.04|0.4|1.25|1.25|0.4|0.4|0.0388|0.0388|0.11|0.11|0.24|3.947147790096389|0|0|1
E-20.110|20.0|0.16|0.0692|1.0158|0.0|0.16|0.0|0.04|0.4|2.0|2.0|1.0|1.0|0.0|0.0|0.12|0.12|0.0|1.6110371528965446|0|0|1
A-35.29|1000.0|0.75|0.24414804|2.7|0.0|0.75|0.0|0.0|0.0|2.0|2.0|0.45|0.45|0.051|0.051|0.35|0.35|0.204|11.381949839722589|0|0|1
C-9.4|1000.0|0.722|0.07552|1.348|0.0|0.722|0.0|0.0|0.0|1.5|1.5|0.47|0.47|0.03|0.03|0.074|0.074|0.08917021672758628|2.837062631215264|0|0|1
D-22.207|50.0|0.4|0.16345|1.9485096356|0.0|0.4|0.0|0.0|0.0|4.0|4.0|1.0|1.0|0.0|0.0|0.1|0.1|0.0|5.927809720285709|0|0|1
D-22.85|50.0|0.3|0.12875|1.6862188618|0.0|0.3|0.0|0.0|0.0|2.0|2.0|1.0|1.0|0.0|0.0|0.2|0.2|0.0|4.439325861923766|0|0|1
E-15.481|20.0|0.37|0.1023|1.262|0.0|0.34|0.0|-0.17|0.0|1.25|1.25|0.4|0.4|0.0388|0.0388|0.17|0.17|0.31|2.4866109904712124|0|0|1
E-20.59|20.0|0.16|0.051|0.8524|0.0|0.16|0.0|0.0|0.4|1.0|1.0|1.0|1.0|0.0|0.0|0.08|0.08|0.0|1.134425606937821|0|0|1
A-41.70|80.2907398|0.3|0.1376|1.631|0.0|0.3|0.0|0.0|0.0|4.0|4.0|0.4|0.4|0.0625|0.0625|0.125|0.125|0.2|4.1533359489144415|0|0|1
D-31.11|1000.0|0.84|0.202|1.6363636364|0.0|0.84|0.0|0.08|0.4|3.0|0.0|1.0|1.0|0.0|0.0|0.32|0.32|0.0|4.180697829285014|0|0|1
E-15.460|20.0|0.37|0.139|1.616|0.0|0.34|0.0|0.04|0.5|1.25|1.25|0.4|0.4|0.0388|0.0388|0.17|0.17|0.31|4.07729234576716|0|0|1
A-34.172|52.0|0.5|0.161|1.7454545455|0.0|0.5|0.0|-0.055|0.15|2.0|0.0|0.55|0.55|0.045|0.045|0.14|0.14|0.0|4.756705085800618|0|0|1
D-37.13|50.4442323|0.19|0.09227|1.163|0.0|0.19|0.0|0.0|0.0|2.72|2.72|1.0|1.0|0.0|0.0|0.086|0.114|0.0|2.1117794942062744|0|0|1
E-7.21|1000.0|0.6|0.101|2.327272727272727|0.0|0.6|0.0|0.0|0.4|3.0|3.0|1.0|1.0|0.0|0.0|0.242|0.242|0.0|8.456364596538442|0|0|1
G-26.47|43.5|0.196783626|0.1111|1.193865719|14.0|0.126608187|0.160818713|0.0|0.0|1.5|1.5|0.46|0.46|0.03634190065443109|0.03634190065443109|0.16871345|0.148245614|0.365497076|2.2253591051351083|0|0|1
