Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotau|gf_d|gf_u|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
A-2.1|1000.0|0.7164999999999999|0.09614|1.188|0.0|0.7164999999999999|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.2|1000.0|0.7164999999999999|0.09449|1.027|0.0|0.7164999999999999|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.3|1000.0|0.7164999999999999|0.07895|1.344|0.0|0.7164999999999999|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.4|1000.0|0.6835|0.09346|1.189|0.0|0.6835|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.5|1000.0|0.6835|0.09162|1.027|0.0|0.6835|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.6|1000.0|0.6835|0.07869|1.345|0.0|0.6835|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.7|1000.0|0.7164999999999999|0.06906|1.037|0.0|0.7164999999999999|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.8|1000.0|0.7164999999999999|0.06822|0.8964|0.0|0.7164999999999999|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.9|1000.0|0.7164999999999999|0.05639|1.086|0.0|0.7164999999999999|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.10|1000.0|0.6835|0.0721|1.035|0.0|0.6835|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.11|1000.0|0.7164999999999999|0.05454|0.8004|0.0|0.7164999999999999|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.12|1000.0|0.6835|0.06724|0.8956|0.0|0.6835|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.13|1000.0|0.7164999999999999|0.05068|0.8567|0.0|0.7164999999999999|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.14|1000.0|0.6835|0.05083|0.8546|0.0|0.6835|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.15|1000.0|0.6835|0.05484|1.089|0.0|0.6835|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.26|1000.0|0.7164999999999999|0.1001|1.19|0.0|0.7164999999999999|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.27|1000.0|0.7164999999999999|0.08201|1.346|0.0|0.7164999999999999|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.28|1000.0|0.7164999999999999|0.09865|1.029|0.0|0.7164999999999999|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.29|1000.0|0.6835|0.09668|1.191|0.0|0.6835|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.30|1000.0|0.6835|0.0807|1.348|0.0|0.6835|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.31|1000.0|0.7164999999999999|0.07241|1.036|0.0|0.7164999999999999|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.32|1000.0|0.6835|0.09527|1.029|0.0|0.6835|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.33|1000.0|0.7164999999999999|0.07003|0.8971|0.0|0.7164999999999999|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.34|1000.0|0.7164999999999999|0.057|1.093|0.0|0.7164999999999999|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.35|1000.0|0.7164999999999999|0.05534|0.801|0.0|0.7164999999999999|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.36|1000.0|0.6835|0.06854|1.036|0.0|0.6835|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.37|1000.0|0.7164999999999999|0.05153|0.8588|0.0|0.7164999999999999|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.38|1000.0|0.6835|0.06685|0.8946|0.0|0.6835|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.39|1000.0|0.6835|0.04755|0.8538|0.0|0.6835|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.50|1000.0|0.73|0.09338|1.625|0.0|0.73|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.042|0.042|0.095|0.095|0.12484862178253167|0|0|1
A-2.51|1000.0|0.73|0.1207|1.278|0.0|0.73|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.042|0.042|0.095|0.095|0.12484862178253167|0|0|1
A-2.52|1000.0|0.73|0.0986|1.427|0.0|0.73|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.042|0.042|0.095|0.095|0.12484862178253167|0|0|1
A-2.53|1000.0|0.73|0.1117|1.099|0.0|0.73|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.042|0.042|0.095|0.095|0.12484862178253167|0|0|1
A-2.54|1000.0|0.6805|0.1232|1.279|0.0|0.6805|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.042|0.042|0.134|0.134|0.12484862178253167|0|0|1
A-2.55|1000.0|0.6805|0.111|1.63|0.0|0.6805|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.042|0.042|0.134|0.134|0.12484862178253167|0|0|1
A-2.56|1000.0|0.6805|0.1127|1.098|0.0|0.6805|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.042|0.042|0.134|0.134|0.12484862178253167|0|0|1
A-2.57|1000.0|0.73|0.08279|0.9544|0.0|0.73|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.042|0.042|0.095|0.095|0.12484862178253167|0|0|1
A-2.58|1000.0|0.6805|0.09334|1.429|0.0|0.6805|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.042|0.042|0.134|0.134|0.12484862178253167|0|0|1
A-2.59|1000.0|0.73|0.07821|1.044|0.0|0.73|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.042|0.042|0.095|0.095|0.12484862178253167|0|0|1
A-2.60|1000.0|0.73|0.07011|1.038|0.0|0.73|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.042|0.042|0.095|0.095|0.12484862178253167|0|0|1
A-2.61|1000.0|0.73|0.05829|1.157|0.0|0.73|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.042|0.042|0.095|0.095|0.12484862178253167|0|0|1
A-2.62|1000.0|0.6805|0.07768|1.043|0.0|0.6805|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.042|0.042|0.134|0.134|0.12484862178253167|0|0|1
A-2.63|1000.0|0.6805|0.08106|0.951|0.0|0.6805|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.042|0.042|0.134|0.134|0.12484862178253167|0|0|1
A-3.1|1000.0|0.515|0.1156|1.174|0.0|0.485|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.1|0.1|0.13|0|0|1
A-3.2|1000.0|0.515|0.1054|1.119|0.0|0.485|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.1|0.1|0.13|0|0|1
A-3.3|1000.0|0.515|0.09509|1.065|0.0|0.485|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.1|0.1|0.13|0|0|1
A-3.4|1000.0|0.515|0.08303|1.016|0.0|0.485|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.1|0.1|0.13|0|0|1
A-3.5|1000.0|0.515|0.1278|1.226|0.0|0.485|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.1|0.1|0.13|0|0|1
