Label|m|h|Hm0 toe|Tm1,0t|Tp toe|β|ht|Bt|hb|B|cotad|cotau|gf_d|gf_u|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
A-1.2|1000|0.8|0.0905|1.3|1.43|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.3|1000|0.8|0.123|1.2909090909090908|1.42|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.4|1000|0.8|0.1386|1.3|1.43|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.5|1000|0.8|0.1004|1.3|1.43|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.6|1000|0.8|0.1154|1.8|1.98|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.7|1000|0.8|0.0843|1.7818181818181817|1.96|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.8|1000|0.8|0.1011|1.7818181818181817|1.96|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.9|1000|0.8|0.124|1.7818181818181817|1.96|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.10|1000|0.8|0.0921|1.8|1.98|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.11|1000|0.8|0.1131|2.327272727272727|2.56|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.12|1000|0.8|0.0861|2.3|2.53|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.13|1000|0.8|0.0962|2.2727272727272725|2.5|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.14|1000|0.8|0.1048|2.327272727272727|2.56|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.15|1000|0.8|0.1208|2.3|2.53|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.16|1000|0.8|0.1317|2.327272727272727|2.56|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.17|1000|0.8|0.105|3.1363636363636362|3.45|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.18|1000|0.8|0.122|3.1909090909090905|3.51|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.19|1000|0.8|0.1387|3.1909090909090905|3.51|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.20|1000|0.8|0.1507|3.1909090909090905|3.51|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.21|1000|0.8|0.1302|3.1909090909090905|3.51|0|0.8|0|0|0|1.5|1.5|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.22|1000|0.8|0.1142|1.2636363636363634|1.39|0|0.8|0|0|0|2|2|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.23|1000|0.8|0.1364|1.2727272727272725|1.4|0|0.8|0|0|0|2|2|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.24|1000|0.8|0.159|1.3272727272727272|1.46|0|0.8|0|0|0|2|2|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.25|1000|0.8|0.0909|1.2909090909090908|1.42|0|0.8|0|0|0|2|2|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
A-1.26|1000|0.8|0.1236|1.2818181818181817|1.41|0|0.8|0|0|0|2|2|0.4|0.4|0.036|0.036|0.35|0.35|0.2|0|0|1
