Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotaincl|cotau|gf_d|gf_u|gf|D|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
E-2.5|100.0|0.47|0.1466666667|1.7128778162|0.0|0.2366666667|0.0|0.1033333333|0.0|3.0|3.631578947202216|4.0|0.55|0.55|0.5500000000000002|0.04800000000000001|0.048|0.048|0.0966666667|0.0966666667|0.3833333333|0|0|1
E-2.6|100.0|0.47|0.1033333333|2.3900620691|0.0|0.2366666667|0.0|0.1033333333|0.0|3.0|3.794701986807597|4.0|0.55|0.55|0.5500000000000002|0.04800000000000001|0.048|0.048|0.0966666667|0.0966666667|0.3833333333|0|0|1
E-2.7|100.0|0.52|0.1366666667|1.6531262645|0.0|0.2866666667|0.0|0.1533333333|0.0|3.0|3.7947019864918206|4.0|0.55|0.55|0.55|0.048|0.048|0.048|0.0466666667|0.0466666667|0.3833333333|0|0|1
E-2.8|100.0|0.52|0.1|2.4697308048|0.0|0.2866666667|0.0|0.0|0.0|4.0|4.0|4.0|0.55|0.55|0.55|0.04800000000000001|0.048|0.048|0.0466666667|0.0466666667|0.3833333333|0|0|1
E-2.11|100.0|0.52|0.1366666667|1.6531262645|0.0|0.2866666667|0.0|-0.0466666667|0.3833333333|3.3|4.231937172893615|2.0|0.55|0.55|0.5499999999999999|0.048|0.048|0.048|0.1133333333|0.1133333333|0.1|0|0|1
E-2.12|100.0|0.52|0.1|2.4697308048|0.0|0.2866666667|0.0|-0.0466666667|0.3833333333|3.3|4.426582278826149|2.0|0.55|0.55|0.55|0.048|0.048|0.048|0.1133333333|0.1133333333|0.1|0|0|1
E-3.6|350.0|0.292|0.1057|2.6909090909|0.0|0.252|0.416|0.022|0.544|7.0|9.040892890639654|7.0|0.4|0.4|0.4|0.024|0.024|0.024|0.108|0.108|0.296|0|0|1
E-3.7|350.0|0.292|0.1318|2.6727272727|0.0|0.252|0.416|0.022|0.544|7.0|8.779522407589141|7.0|0.4|0.4|0.4|0.024000000000000004|0.024|0.024|0.108|0.108|0.296|0|0|1
E-3.8|350.0|0.292|0.136|2.6727272727|0.0|0.252|0.416|0.022|0.544|7.0|8.743589743589745|7.0|0.4|0.4|0.4000000000000001|0.024000000000000004|0.024|0.024|0.108|0.108|0.296|0|0|1
E-3.10|350.0|0.292|0.1332|2.6727272727|0.0|0.252|0.416|0.022|0.544|7.0|8.600941730429664|7.0|0.4|0.4|0.4000000000000001|0.024|0.024|0.024|0.14|0.14|0.296|0|0|1
E-3.11|350.0|0.292|0.1318|2.6727272727|0.0|0.252|0.416|0.022|0.544|7.0|8.779522407589141|7.0|0.4|0.4|0.4|0.024000000000000004|0.024|0.024|0.108|0.108|0.296|0|0|1
E-3.12|350.0|0.292|0.1332|2.6727272727|0.0|0.252|0.416|0.022|0.544|7.0|8.600941730429664|7.0|0.4|0.4|0.4000000000000001|0.024|0.024|0.024|0.14|0.14|0.296|0|0|1
E-3.15|350.0|0.292|0.136|2.1818181818|0.0|0.252|0.416|0.022|0.544|7.0|8.58139534883721|7.0|0.4|0.4|0.4|0.024|0.024|0.024|0.14|0.14|0.296|0|0|1
E-3.16|350.0|0.292|0.1332|2.6727272727|0.0|0.252|0.416|0.022|0.544|7.0|8.600941730429664|7.0|0.4|0.4|0.4000000000000001|0.024|0.024|0.024|0.14|0.14|0.296|0|0|1
E-3.17|350.0|0.292|0.1291|3.2181818182|0.0|0.252|0.416|0.022|0.544|7.0|8.630451071482092|7.0|0.4|0.4|0.4000000000000001|0.024|0.024|0.024|0.14|0.14|0.296|0|0|1
E-3.18|350.0|0.292|0.1373|3.2181818182|0.0|0.252|0.416|0.022|0.544|7.0|8.572481572481571|7.0|0.4|0.4|0.4|0.024|0.024|0.024|0.14|0.14|0.296|0|0|1
E-4.3|80.5|0.1267015707|0.0782722513|1.5708940186|0.0|0.1005235602|0.0541012216|0.062565445|0.1204188482|1.3333333333|2.408328022195507|2.0|0.55|0.55|0.55|0.036|0.036|0.036|0.0879581152|0.0879581152|0.2615183246|0|0|1
E-6.1|23.0|0.2|0.12833333333333333|1.5518805795979702|0.0|0.2|0.0|-0.07166666666666667|0.2|2.0|3.2291105121293797|6.0|0.47|0.47|0.5351536643026004|0.03788936170212766|0.0432|0.0432|0.11666666666666667|0.16|0.03333333333333333|0|0|1
E-6.2|23.0|0.2|0.15133333333333335|1.9004312980103488|0.0|0.2|0.0|-0.07166666666666667|0.2|2.0|3.2000000000000006|6.0|0.47|0.47|0.5337962962962963|0.038|0.0432|0.0432|0.11666666666666667|0.16|0.03333333333333333|0|0|1
E-6.3|23.0|0.2|0.1716666666666667|2.326990986734069|0.0|0.2|0.0|-0.07166666666666667|0.2|2.0|3.2000000000000006|6.0|0.47|0.47|0.5337962962962963|0.038|0.0432|0.0432|0.11666666666666667|0.16|0.03333333333333333|0|0|1
E-6.4|23.0|0.2|0.18966666666666668|2.326990986734069|0.0|0.2|0.0|-0.07166666666666667|0.2|2.0|3.2000000000000006|6.0|0.47|0.47|0.5337962962962963|0.038|0.0432|0.0432|0.11666666666666667|0.16|0.03333333333333333|0|0|1
E-6.5|23.0|0.2|0.13033333333333333|1.5518805795979702|0.0|0.2|0.0|-0.08166666666666668|0.008333333333333333|2.0|2.8152436082971533|6.0|0.47|0.47|0.5290655807972566|0.04389464209172738|0.0494|0.0494|0.15|0.19333333333333333|0.03333333333333333|0|0|1
E-6.6|23.0|0.2|0.14133333333333334|1.6630848564247769|0.0|0.2|0.0|-0.08166666666666668|0.008333333333333333|2.0|2.8047619047619046|6.0|0.47|0.47|0.5283898305084745|0.04395762711864407|0.0494|0.0494|0.15|0.19333333333333333|0.03333333333333333|0|0|1
E-6.7|23.0|0.2|0.161|1.9386059005031333|0.0|0.2|0.0|-0.08166666666666668|0.008333333333333333|2.0|2.8047619047619046|6.0|0.47|0.47|0.5283898305084745|0.04395762711864407|0.0494|0.0494|0.15|0.19333333333333333|0.03333333333333333|0|0|1
E-6.8|23.0|0.2|0.19|2.326990986734069|0.0|0.2|0.0|-0.08166666666666668|0.008333333333333333|2.0|2.8047619047619046|6.0|0.47|0.47|0.5283898305084745|0.04395762711864407|0.0494|0.0494|0.15|0.19333333333333333|0.03333333333333333|0|0|1
E-6.9|23.0|0.21666666666666667|0.19|2.326990986734069|0.0|0.21666666666666667|0.0|-0.08166666666666668|0.008333333333333333|2.0|2.7681818181818176|6.0|0.47|0.47|0.5260162601626015|0.04417886178861788|0.0494|0.0494|0.15|0.19333333333333333|0.03333333333333333|0|0|1
E-6.10|23.0|0.2|0.13|1.58|0.0|0.2|0.0|0.0|0.0|2.0|2.0|2.0|0.47|0.47|0.5595774647887323|0.04105070422535211|0.0494|0.0494|0.1|0.16|0.44|0|0|1
E-7.1|1000.0|0.73|0.172|1.5818181818181818|0.0|0.73|0.0|0.13|1.0|3.0|5.092050209205021|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.22|0.22|0.0|0|0|1
