Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotaincl|cotau|gf_d|gf_u|gf|D|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
B-9.4|100.0|0.290322|0.140909|3.2859091|0.0|0.290322|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.2032406|0.2032406|0.0|0|0|1
B-9.5|100.0|0.2916936|0.1410614|2.0899091|0.0|0.2916936|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.5499999999999999|0.079248|0.07924800000000001|0.07924800000000001|0.201869|0.201869|0.0|0|0|1
B-9.7|100.0|0.2944368|0.1095146|2.9888182|0.0|0.2944368|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.1991258|0.1991258|0.0|0|0|1
B-9.8|100.0|0.2904744|0.1418844|3.2859091|0.0|0.2904744|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.079248|0.07924800000000001|0.07924800000000001|0.2030882|0.2030882|0.0|0|0|1
B-9.10|100.0|0.3174492|0.0833628|1.1974545|0.0|0.3174492|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.1761134|0.1761134|0.0|0|0|1
B-9.12|100.0|0.3252216|0.1075944|2.0390909|0.0|0.3252216|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.168341|0.168341|0.0|0|0|1
B-9.13|100.0|0.3226308|0.140147|2.0544545|0.0|0.3226308|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.079248|0.07924800000000001|0.07924800000000001|0.1709318|0.1709318|0.0|0|0|1
B-9.14|100.0|0.32385|0.0753161|2.9563636|0.0|0.32385|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.1697126|0.1697126|0.0|0|0|1
B-9.15|100.0|0.3217164|0.1109777|2.9563636|0.0|0.3217164|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.1718462|0.1718462|0.0|0|0|1
B-9.16|100.0|0.3183636|0.1255776|2.9563636|0.0|0.3183636|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.5499999999999999|0.079248|0.07924800000000001|0.07924800000000001|0.175199|0.175199|0.0|0|0|1
B-9.19|100.0|0.3537204|0.0828751|1.1997273|0.0|0.3537204|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.5499999999999999|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.1398422|0.1398422|0.0|0|0|1
B-9.21|100.0|0.3483864|0.0854354|1.9886364|0.0|0.3483864|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.1451762|0.1451762|0.0|0|0|1
B-9.22|100.0|0.3534156|0.1139342|2.009|0.0|0.3534156|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.140147|0.140147|0.0|0|0|1
