Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotaincl|cotau|gf_d|gf_u|gf|D|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
C-1.1|1000.0|0.7264999999999999|0.1112|1.638|0.0|0.7264999999999999|0.0|0.0|0.0|1.5|1.4999999999999998|1.5|0.46|0.46|0.45999999999999996|0.032|0.032|0.032|0.086|0.086|0.09467251057546976|0|0|1
C-1.2|1000.0|0.7264999999999999|0.1068|1.274|0.0|0.7264999999999999|0.0|0.0|0.0|1.5|1.5|1.5|0.46|0.46|0.46|0.032|0.032|0.032|0.086|0.086|0.09467251057546976|0|0|1
C-1.3|1000.0|0.7264999999999999|0.106|1.097|0.0|0.7264999999999999|0.0|0.0|0.0|1.5|1.5|1.5|0.46|0.46|0.46|0.032|0.032|0.032|0.086|0.086|0.09467251057546976|0|0|1
C-1.4|1000.0|0.7264999999999999|0.09128|1.426|0.0|0.7264999999999999|0.0|0.0|0.0|1.5|1.5000000000000002|1.5|0.46|0.46|0.46|0.032|0.032|0.032|0.086|0.086|0.09467251057546976|0|0|1
C-1.5|1000.0|0.6735|0.1178|1.64|0.0|0.6735|0.0|0.0|0.0|1.5|1.5000000000000002|1.5|0.46|0.46|0.4600000000000001|0.03200000000000001|0.032|0.032|0.139|0.139|0.09467251057546976|0|0|1
C-1.6|1000.0|0.6735|0.1026|1.095|0.0|0.6735|0.0|0.0|0.0|1.5|1.5|1.5|0.46|0.46|0.4600000000000001|0.032|0.032|0.032|0.139|0.139|0.09467251057546976|0|0|1
C-1.7|1000.0|0.6735|0.1026|1.095|0.0|0.6735|0.0|0.0|0.0|1.5|1.5|1.5|0.46|0.46|0.4600000000000001|0.032|0.032|0.032|0.139|0.139|0.09467251057546976|0|0|1
C-1.8|1000.0|0.6735|0.08755|1.433|0.0|0.6735|0.0|0.0|0.0|1.5|1.5|1.5|0.46|0.46|0.46|0.032|0.032|0.032|0.139|0.139|0.09467251057546976|0|0|1
C-1.9|1000.0|0.7264999999999999|0.07833|0.9502|0.0|0.7264999999999999|0.0|0.0|0.0|1.5|1.5|1.5|0.46|0.46|0.45999999999999996|0.032|0.032|0.032|0.086|0.086|0.09467251057546976|0|0|1
C-1.10|1000.0|0.6735|0.09531|1.185|0.0|0.6735|0.0|0.0|0.0|1.5|1.5|1.5|0.46|0.46|0.46|0.032|0.032|0.032|0.139|0.139|0.09467251057546976|0|0|1
C-1.11|1000.0|0.7264999999999999|0.07316|1.041|0.0|0.7264999999999999|0.0|0.0|0.0|1.5|1.5000000000000002|1.5|0.46|0.46|0.45999999999999996|0.032|0.032|0.032|0.086|0.086|0.09467251057546976|0|0|1
C-1.12|1000.0|0.6735|0.09452|1.024|0.0|0.6735|0.0|0.0|0.0|1.5|1.5|1.5|0.46|0.46|0.46|0.032|0.032|0.032|0.139|0.139|0.09467251057546976|0|0|1
