Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotaincl|cotau|gf_d|gf_u|gf|D|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
D-1.1|1000.0|0.7565|0.1138|1.603|0.0|0.7565|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.11|0.11|0.0|0|0|1
D-1.2|1000.0|0.7565|0.1057|1.262|0.0|0.7565|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.11|0.11|0.0|0|0|1
D-1.3|1000.0|0.7565|0.1095|1.096|0.0|0.7565|0.0|0.0|0.0|1.5|1.5000000000000002|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.11|0.11|0.0|0|0|1
D-1.4|1000.0|0.7565|0.09864|1.425|0.0|0.7565|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.11|0.11|0.0|0|0|1
D-1.5|1000.0|0.7565|0.06989|1.03|0.0|0.7565|0.0|0.0|0.0|1.5|1.4999999999999998|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.11|0.11|0.0|0|0|1
D-1.6|1000.0|0.7565|0.0807|0.9472|0.0|0.7565|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.11|0.11|0.0|0|0|1
D-1.7|1000.0|0.7565|0.05951|1.149|0.0|0.7565|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.11|0.11|0.0|0|0|1
D-1.8|1000.0|0.7565|0.05406|0.8892|0.0|0.7565|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.11|0.11|0.0|0|0|1
D-1.9|1000.0|0.7565|0.05473|0.7918|0.0|0.7565|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.11|0.11|0.0|0|0|1
D-1.10|1000.0|0.6615|0.1102|1.586|0.0|0.6615|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.187|0.187|0.0|0|0|1
D-1.11|1000.0|0.6615|0.1026|1.275|0.0|0.6615|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.187|0.187|0.0|0|0|1
D-1.12|1000.0|0.6615|0.1033|1.093|0.0|0.6615|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.187|0.187|0.0|0|0|1
D-1.13|1000.0|0.6615|0.09131|1.42|0.0|0.6615|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.187|0.187|0.0|0|0|1
D-1.14|1000.0|0.6615|0.07595|1.089|0.0|0.6615|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.187|0.187|0.0|0|0|1
D-1.15|1000.0|0.6615|0.0764|0.943|0.0|0.6615|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.187|0.187|0.0|0|0|1
D-1.16|1000.0|0.6615|0.05607|1.145|0.0|0.6615|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.187|0.187|0.0|0|0|1
D-1.17|1000.0|0.6615|0.05053|0.8876|0.0|0.6615|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.187|0.187|0.0|0|0|1
D-1.18|1000.0|0.6615|0.05105|0.7873|0.0|0.6615|0.0|0.0|0.0|1.5|1.5|1.5|1.0|1.0|1.0|0.0|0.0|0.0|0.187|0.187|0.0|0|0|1
D-3.1|1000.0|0.72|0.137|2.3727272727|0.0|0.72|0.0|0.0|0.0|4.0|4.0|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.24|0.24|0.0|0|0|1
D-3.2|1000.0|0.72|0.134|1.8181818182|0.0|0.72|0.0|0.0|0.0|4.0|4.0|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.24|0.24|0.0|0|0|1
D-3.3|1000.0|0.72|0.13|1.4545454545|0.0|0.72|0.0|0.0|0.0|4.0|4.0|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.24|0.24|0.0|0|0|1
D-3.4|1000.0|0.72|0.118|1.2545454545|0.0|0.72|0.0|0.0|0.0|4.0|4.0|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.24|0.24|0.0|0|0|1
D-3.5|1000.0|0.72|0.123|1.1181818182|0.0|0.72|0.0|0.0|0.0|4.0|4.0|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.24|0.24|0.0|0|0|1
D-5.1|1000.0|0.6|0.101|2.2545454545454544|0.0|0.6|0.0|0.0|0.0|4.0|4.0|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.31|0.31|0.0|0|0|1
D-5.2|1000.0|0.6|0.143|2.009090909090909|0.0|0.6|0.0|0.0|0.0|4.0|4.0|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.31|0.31|0.0|0|0|1
D-5.3|1000.0|0.6|0.164|1.7727272727272725|0.0|0.6|0.0|0.0|0.0|4.0|4.0|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.31|0.31|0.0|0|0|1
D-5.4|1000.0|0.6|0.182|1.6545454545454545|0.0|0.6|0.0|0.0|0.0|4.0|4.0|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.31|0.31|0.0|0|0|1
D-5.5|1000.0|0.6|0.194|1.5818181818181818|0.0|0.6|0.0|0.0|0.0|4.0|4.0|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.31|0.31|0.0|0|0|1
