Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotaincl|cotau|gf_d|gf_u|gf|D|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
F-3.1|1000.0|0.8026315789473685|0.09473684210526316|1.3420135748090354|0.0|0.5|0.7105263157894737|-0.02631578947368421|0.0|0.0|0.8831312017640573|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.09657894736842106|0.19210526315789472|0.0|0|0|1
F-3.2|1000.0|0.8026315789473685|0.11578947368421054|1.710698622833496|0.0|0.5|0.7105263157894737|-0.02631578947368421|0.0|0.0|0.7799415774099318|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.09657894736842106|0.19210526315789472|0.0|0|0|1
F-3.3|1000.0|0.8026315789473685|0.15263157894736842|1.9466570535691503|0.0|0.5|0.7105263157894737|-0.02631578947368421|0.0|0.0|0.6475343573160873|3.0|1.0|1.0|1.0000000000000002|0.0|0.0|0.0|0.09657894736842106|0.19210526315789472|0.0|0|0|1
F-3.4|1000.0|0.8026315789473685|0.19210526315789472|2.1973628862257835|0.0|0.5|0.7105263157894737|-0.02631578947368421|0.0|0.0|0.5478796169630644|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.09657894736842106|0.19210526315789472|0.0|0|0|1
F-3.5|1000.0|0.8026315789473685|0.20789473684210527|2.2416050919887187|0.0|0.5|0.7105263157894737|-0.02631578947368421|0.0|0.0|0.5161082474226804|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.09657894736842106|0.19210526315789472|0.0|0|0|1
F-3.7|1000.0|0.8026315789473685|0.11578947368421054|1.7401934266754526|0.0|0.5|0.7105263157894737|-0.02631578947368421|0.0|0.0|0.7267441860465115|6.25|1.0|1.0|1.0|0.0|0.0|0.0|0.05263157894736842|0.21052631578947367|0.0|0|0|1
F-3.8|1000.0|0.8026315789473685|0.15789473684210525|1.9466570535691503|0.0|0.5|0.7105263157894737|-0.02631578947368421|0.0|0.0|0.5681818181818181|6.25|1.0|1.0|1.0|0.0|0.0|0.0|0.05263157894736842|0.21052631578947367|0.0|0|0|1
F-3.9|1000.0|0.8026315789473685|0.18947368421052632|2.1973628862257835|0.0|0.5|0.7105263157894737|-0.02631578947368421|0.0|0.0|0.48828124999999994|6.25|1.0|1.0|0.9999999999999999|0.0|0.0|0.0|0.05263157894736842|0.21052631578947367|0.0|0|0|1
F-3.10|1000.0|0.8026315789473685|0.2131578947368421|2.2416050919887187|0.0|0.5|0.7105263157894737|-0.02631578947368421|0.0|0.0|0.4416961130742049|6.25|1.0|1.0|1.0|0.0|0.0|0.0|0.05263157894736842|0.21052631578947367|0.0|0|0|1
F-3.11|1000.0|0.8026315789473685|0.09473684210526316|1.3125187709670787|0.0|0.5|0.7105263157894737|-0.02631578947368421|0.0|0.0|1.176954732510288|2.888888888888889|1.0|1.0|1.0|0.0|0.0|0.0|0.14473684210526316|0.18421052631578946|0.0|0|0|1
