Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotaincl|cotau|gf_d|gf_u|gf|D|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
G-2.1|1000.0|0.515|0.08195|1.011|10.0|0.485|0.13|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4|0.042|0.042|0.042|0.1|0.1|0.13|0|0|1
G-2.2|1000.0|0.515|0.0938|1.082|10.0|0.485|0.13|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4|0.042|0.042|0.042|0.1|0.1|0.13|0|0|1
G-2.3|1000.0|0.515|0.11|1.128|10.0|0.485|0.13|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4|0.042|0.042|0.042|0.1|0.1|0.13|0|0|1
G-2.4|1000.0|0.515|0.1133|1.178|10.0|0.485|0.13|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.39999999999999997|0.042|0.042|0.042|0.1|0.1|0.13|0|0|1
G-2.5|1000.0|0.515|0.1277|1.224|10.0|0.485|0.13|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4000000000000001|0.04200000000000001|0.042|0.042|0.1|0.1|0.13|0|0|1
G-2.6|1000.0|0.515|0.07722|1.054|10.0|0.485|0.13|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4|0.042|0.042|0.042|0.1|0.1|0.13|0|0|1
G-2.7|1000.0|0.515|0.08823|1.116|10.0|0.485|0.13|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4|0.04200000000000001|0.042|0.042|0.1|0.1|0.13|0|0|1
G-2.8|1000.0|0.515|0.1043|1.169|10.0|0.485|0.13|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4000000000000001|0.042|0.042|0.042|0.1|0.1|0.13|0|0|1
G-2.9|1000.0|0.515|0.1146|1.233|10.0|0.485|0.13|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.39999999999999997|0.041999999999999996|0.042|0.042|0.1|0.1|0.13|0|0|1
G-2.10|1000.0|0.515|0.1223|1.279|10.0|0.485|0.13|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4000000000000001|0.04200000000000001|0.042|0.042|0.1|0.1|0.13|0|0|1
G-2.11|1000.0|0.515|0.07682|1.059|10.0|0.485|0.13|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4|0.042|0.042|0.042|0.1|0.1|0.13|0|0|1
G-2.12|1000.0|0.515|0.1004|1.171|10.0|0.485|0.13|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4|0.042|0.042|0.042|0.1|0.1|0.13|0|0|1
G-2.13|1000.0|0.515|0.126|1.278|10.0|0.485|0.13|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.39999999999999997|0.042|0.042|0.042|0.1|0.1|0.13|0|0|1
G-2.14|1000.0|0.515|0.08607|1.28|10.0|0.485|0.13|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4|0.042|0.042|0.042|0.1|0.1|0.13|0|0|1
G-2.15|1000.0|0.515|0.09743|1.363|10.0|0.485|0.13|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4000000000000001|0.042|0.042|0.042|0.1|0.1|0.13|0|0|1
