Test-ID|Average|Prototype|5.0%|95.0%|E
F-3.1|3.71e-06|3.71e-06|6.79e-07|2.07e-05|0.0017
F-3.2|2.35e-05|2.35e-05|1.01e-05|5.54e-05|0.0007
F-3.3|2.03e-04|2.03e-04|1.18e-04|3.47e-04|0.0001
F-3.4|8.10e-04|8.10e-04|4.74e-04|1.34e-03|0.0001
F-3.5|1.17e-03|1.17e-03|6.75e-04|1.97e-03|0.0001
F-3.7|1.21e-05|1.21e-05|5.30e-06|2.80e-05|0.0007
F-3.8|1.39e-04|1.39e-04|8.28e-05|2.32e-04|0.0001
F-3.9|4.65e-04|4.65e-04|2.77e-04|7.63e-04|0.0000
F-3.10|8.37e-04|8.37e-04|5.03e-04|1.38e-03|0.0001
F-3.11|6.90e-06|6.90e-06|9.37e-07|4.98e-05|0.0073
F-3.12|4.06e-05|4.06e-05|1.48e-05|1.26e-04|0.0042
F-3.13|3.65e-04|3.65e-04|1.86e-04|7.22e-04|0.0022
F-3.14|1.01e-03|1.01e-03|5.42e-04|1.84e-03|0.0014
F-3.15|1.75e-03|1.75e-03|9.05e-04|3.24e-03|0.0011
F-3.17|9.40e-06|9.40e-06|4.20e-06|2.27e-05|0.0001
F-3.18|1.33e-04|1.33e-04|7.89e-05|2.22e-04|0.0000
F-3.19|3.85e-04|3.85e-04|2.34e-04|6.40e-04|0.0000
F-3.20|6.94e-04|6.94e-04|4.12e-04|1.19e-03|0.0000
F-3.22|1.26e-05|1.26e-05|5.68e-06|2.90e-05|0.0002
F-3.23|1.24e-04|1.24e-04|7.18e-05|2.14e-04|0.0000
F-3.24|4.35e-04|4.35e-04|2.61e-04|7.14e-04|0.0000
F-3.25|8.09e-04|8.09e-04|4.87e-04|1.34e-03|0.0001
F-3.27|9.93e-06|9.93e-06|2.92e-06|3.46e-05|0.0084
F-3.28|1.13e-04|1.13e-04|5.68e-05|2.48e-04|0.0040
F-3.29|3.53e-04|3.53e-04|1.79e-04|6.71e-04|0.0027
F-3.30|6.52e-04|6.52e-04|3.37e-04|1.18e-03|0.0019
F-4.1|2.46e-05|2.46e-05|1.19e-05|4.99e-05|0.0000
F-4.2|1.59e-05|1.59e-05|8.61e-06|3.10e-05|0.0000
F-4.3|1.76e-04|1.76e-04|9.54e-05|3.25e-04|0.0000
F-4.4|1.70e-04|1.70e-04|9.12e-05|3.17e-04|0.0000
F-4.5|6.58e-06|6.58e-06|3.46e-06|1.29e-05|0.0000
F-4.6|2.56e-05|2.56e-05|1.36e-05|5.03e-05|0.0017
F-4.7|3.68e-04|3.68e-04|1.91e-04|6.94e-04|0.0000
F-5.1|1.45e-03|1.45e-03|7.27e-04|2.59e-03|0.0000
F-5.2|1.57e-04|1.57e-04|7.84e-05|2.86e-04|0.0000
F-5.3|4.99e-05|4.99e-05|2.43e-05|9.26e-05|0.0000
F-5.4|1.98e-05|1.98e-05|8.82e-06|4.00e-05|0.0000
F-5.5|1.13e-05|1.13e-05|4.70e-06|2.62e-05|0.0000
F-5.6|6.90e-04|6.90e-04|3.38e-04|1.33e-03|0.0000
F-5.7|1.86e-04|1.86e-04|9.11e-05|3.66e-04|0.0000
F-5.8|4.73e-05|4.73e-05|2.04e-05|9.28e-05|0.0000
F-5.9|1.57e-05|1.57e-05|6.53e-06|3.58e-05|0.0000
F-5.10|6.87e-06|6.87e-06|2.35e-06|2.03e-05|0.0000
F-5.11|4.67e-06|4.67e-06|1.30e-06|1.71e-05|0.0002
F-5.33|5.30e-04|5.30e-04|2.69e-04|9.93e-04|0.0000
F-5.34|1.09e-04|1.09e-04|5.30e-05|2.14e-04|0.0000
F-5.36|2.52e-04|2.52e-04|1.35e-04|4.97e-04|0.0000
F-5.37|4.06e-05|4.06e-05|1.84e-05|7.99e-05|0.0000
F-5.39|2.58e-03|2.58e-03|1.23e-03|5.25e-03|0.0000
F-5.40|4.05e-04|4.05e-04|1.93e-04|8.84e-04|0.0000
F-5.41|4.35e-05|4.35e-05|1.83e-05|9.37e-05|0.0000
F-5.56|3.03e-03|3.03e-03|1.24e-03|7.41e-03|0.0000
F-5.57|1.38e-03|1.38e-03|5.57e-04|3.21e-03|0.0000
F-5.58|4.97e-04|4.97e-04|1.93e-04|1.28e-03|0.0000
F-5.59|1.73e-04|1.73e-04|6.47e-05|4.33e-04|0.0000
F-5.60|7.42e-05|7.42e-05|2.79e-05|1.83e-04|0.0000
F-5.61|3.97e-05|3.97e-05|1.33e-05|1.09e-04|0.0000
F-5.88|1.25e-03|1.25e-03|4.25e-04|3.59e-03|0.0000
F-5.91|4.34e-04|4.34e-04|1.56e-04|1.07e-03|0.0000
F-5.92|8.95e-05|8.95e-05|3.23e-05|2.49e-04|0.0000
F-7.1|9.73e-05|9.73e-05|3.94e-05|2.65e-04|0.0001
F-11.1|9.96e-05|9.96e-05|3.95e-05|2.45e-04|0.0000
F-11.2|2.85e-04|2.85e-04|1.22e-04|6.21e-04|0.0004
F-11.3|2.50e-04|2.50e-04|1.09e-04|5.31e-04|0.0001
F-11.10|8.16e-05|8.16e-05|5.39e-06|6.43e-04|19.9154
F-11.11|6.97e-04|6.97e-04|1.05e-04|3.54e-03|0.0240
F-11.12|1.18e-03|1.18e-03|3.99e-04|3.47e-03|0.1765
F-11.13|3.25e-03|3.25e-03|1.43e-03|6.87e-03|0.4298
F-11.14|6.70e-03|6.70e-03|3.44e-03|1.33e-02|0.7906
F-11.15|9.23e-03|9.23e-03|4.16e-03|1.91e-02|1.0501
F-11.31|2.08e-05|2.08e-05|4.97e-06|8.67e-05|0.1151
F-11.32|8.09e-05|8.09e-05|2.35e-05|2.81e-04|0.0352
F-11.33|1.34e-04|1.34e-04|5.50e-05|2.85e-04|0.0334
F-11.34|6.16e-05|6.16e-05|1.42e-06|2.91e-03|12.1812
F-11.35|5.52e-04|5.52e-04|2.29e-04|1.29e-03|0.0003
F-11.36|3.78e-03|3.78e-03|1.80e-03|8.01e-03|0.4092
F-11.37|8.93e-04|8.93e-04|2.25e-04|2.58e-03|0.0249
F-11.38|5.66e-03|5.66e-03|1.92e-03|1.55e-02|0.7567
F-11.39|7.40e-03|7.40e-03|2.49e-03|1.82e-02|0.9806
F-11.45|1.02e-05|1.02e-05|8.97e-07|9.76e-05|0.2131
F-11.46|9.09e-05|9.09e-05|3.57e-05|2.28e-04|0.0000
F-11.47|2.00e-04|2.00e-04|9.81e-05|4.15e-04|0.0001
F-11.48|2.56e-04|2.56e-04|1.38e-04|4.89e-04|0.0001
F-11.49|6.49e-05|6.49e-05|1.29e-05|3.29e-04|14.0043
F-11.50|4.52e-04|4.52e-04|1.38e-04|1.51e-03|0.0024
F-11.51|1.44e-03|1.44e-03|4.70e-04|3.96e-03|0.1982
F-11.52|2.95e-03|2.95e-03|1.53e-03|5.84e-03|0.4184
F-11.53|6.03e-03|6.03e-03|3.44e-03|1.08e-02|0.7260
F-11.54|7.92e-03|7.92e-03|3.50e-03|1.77e-02|1.0487
F-11.55|3.42e-05|3.42e-05|6.02e-06|1.41e-04|20.5285
F-11.56|5.87e-04|5.87e-04|3.94e-05|5.63e-03|0.0229
F-11.57|1.50e-03|1.50e-03|5.96e-04|3.49e-03|0.1738
F-11.58|3.26e-03|3.26e-03|1.86e-03|5.80e-03|0.4133
F-11.59|5.53e-03|5.53e-03|2.89e-03|1.02e-02|0.7191
F-11.60|8.20e-03|8.20e-03|4.05e-03|1.75e-02|1.0548
F-11.61|7.53e-05|7.53e-05|3.14e-05|1.71e-04|0.0125
F-11.62|1.80e-04|1.80e-04|8.44e-05|3.67e-04|0.0050
F-11.63|1.82e-04|1.82e-04|8.67e-05|3.53e-04|0.0051
F-11.64|3.66e-04|3.66e-04|1.39e-04|9.32e-04|0.3475
F-11.65|4.53e-05|4.53e-05|1.37e-05|1.44e-04|0.2122
F-11.69|1.86e-04|1.86e-04|7.43e-05|4.60e-04|0.2711
F-11.85|1.22e-05|1.22e-05|3.92e-06|3.81e-05|0.0313
F-11.86|2.45e-05|2.45e-05|1.02e-05|5.97e-05|0.0254
F-11.87|2.53e-05|2.53e-05|1.09e-05|5.66e-05|0.0252
F-11.90|8.57e-05|8.57e-05|2.43e-05|2.69e-04|0.2288
F-11.92|3.06e-04|3.06e-04|1.26e-04|7.06e-04|0.2800
F-11.93|5.12e-04|5.12e-04|1.79e-04|1.26e-03|0.3838
F-11.94|5.26e-05|5.26e-05|1.50e-05|2.57e-04|7.6359
F-11.95|5.88e-04|5.88e-04|2.42e-04|1.37e-03|0.0829
F-11.96|1.57e-03|1.57e-03|5.59e-04|3.76e-03|0.2035
F-11.97|3.09e-03|3.09e-03|1.78e-03|5.43e-03|0.2839
F-11.98|6.32e-03|6.32e-03|3.42e-03|1.15e-02|0.5314
F-11.99|1.29e-02|1.29e-02|4.65e-03|3.92e-02|0.1885
F-11.102|3.40e-05|3.40e-05|1.61e-05|7.19e-05|0.0000
F-11.103|1.54e-04|1.54e-04|8.05e-05|2.58e-04|0.0000
F-11.104|1.63e-04|1.63e-04|8.26e-05|2.75e-04|0.0000
F-11.109|3.13e-05|3.13e-05|6.89e-06|1.35e-04|12.7418
F-11.110|4.19e-04|4.19e-04|1.83e-04|9.85e-04|0.0718
F-11.111|1.31e-03|1.31e-03|4.34e-04|3.83e-03|0.1709
F-11.112|2.46e-03|2.46e-03|1.38e-03|4.29e-03|0.2497
F-11.113|5.39e-03|5.39e-03|3.07e-03|9.14e-03|0.4481
F-11.114|1.19e-02|1.19e-02|4.20e-03|3.90e-02|0.1587
F-11.117|2.52e-05|2.52e-05|1.09e-05|5.67e-05|0.0000
F-11.118|1.05e-04|1.05e-04|5.34e-05|1.79e-04|0.0000
F-11.119|1.27e-04|1.27e-04|6.59e-05|2.10e-04|0.0000
F-11.124|5.92e-05|5.92e-05|1.91e-05|2.03e-04|9.8763
F-11.125|5.11e-04|5.11e-04|2.21e-04|1.23e-03|0.0221
F-11.126|1.64e-03|1.64e-03|6.23e-04|3.80e-03|0.1430
F-11.127|2.99e-03|2.99e-03|1.83e-03|5.05e-03|0.2759
F-11.128|6.21e-03|6.21e-03|3.81e-03|1.02e-02|0.5735
F-11.129|7.52e-03|7.52e-03|3.43e-03|1.68e-02|0.8634
F-11.131|1.20e-05|1.20e-05|1.33e-06|6.58e-05|0.2357
F-11.132|5.22e-05|5.22e-05|2.60e-05|1.15e-04|0.0000
F-11.133|1.53e-04|1.53e-04|7.49e-05|3.01e-04|0.0000
F-11.134|2.23e-04|2.23e-04|1.19e-04|4.41e-04|0.0000
F-11.143|4.93e-04|4.93e-04|2.14e-04|1.05e-03|0.3475
F-11.144|5.36e-05|5.36e-05|1.73e-05|1.55e-04|0.2126
F-11.145|5.50e-04|5.50e-04|2.41e-04|1.17e-03|0.3600
F-11.148|8.86e-05|8.86e-05|2.51e-05|3.31e-04|0.0884
F-11.149|5.39e-04|5.39e-04|2.62e-04|1.08e-03|0.1593
F-11.150|1.87e-03|1.87e-03|1.16e-03|3.01e-03|0.4302
F-11.151|3.17e-03|3.17e-03|1.78e-03|5.39e-03|0.6782
F-11.158|1.04e-04|1.04e-04|5.13e-06|1.45e-03|19.9181
F-11.159|5.78e-04|5.78e-04|1.40e-04|1.83e-03|0.0238
F-11.160|1.25e-03|1.25e-03|4.54e-04|3.10e-03|0.1766
F-11.161|3.70e-03|3.70e-03|1.31e-03|9.26e-03|0.4301
F-11.162|7.88e-03|7.88e-03|4.03e-03|1.64e-02|0.7908
F-11.163|1.11e-02|1.11e-02|5.74e-03|2.30e-02|1.0502
F-11.172|2.51e-04|2.51e-04|1.18e-04|5.29e-04|0.2711
F-11.188|1.27e-05|1.27e-05|4.32e-06|3.79e-05|0.0312
F-11.189|2.97e-05|2.97e-05|1.31e-05|6.28e-05|0.0252
F-11.190|2.67e-05|2.67e-05|1.16e-05|5.81e-05|0.0252
F-11.193|1.04e-04|1.04e-04|3.59e-05|2.80e-04|0.2288
F-11.195|3.79e-04|3.79e-04|1.81e-04|7.78e-04|0.2800
F-11.196|7.37e-04|7.37e-04|3.21e-04|1.59e-03|0.3837
F-11.205|7.63e-05|7.63e-05|1.99e-05|3.72e-04|0.0857
F-11.206|3.44e-04|3.44e-04|1.44e-04|8.21e-04|0.1374
