Test-ID|Average|Prototype|5.0%|95.0%|E
G-3.232|2.00e-06|2.20e-05|1.37e-06|2.93e-06|0.0009
F-25.17|1.39e-05|1.39e-05|3.83e-06|4.81e-05|0.0000
E-15.228|9.74e-08|3.41e-07|3.23e-09|6.10e-06|0.0003
F-33.36|8.81e-07|8.81e-07|1.71e-07|4.40e-06|0.0000
F-31.5|4.27e-06|4.27e-06|1.47e-06|1.25e-05|0.0000
G-15.150|8.51e-05|8.51e-05|5.91e-05|1.23e-04|0.0000
B-10.11|2.69e-06|2.96e-05|1.39e-06|5.19e-06|0.0007
G-2.147|8.25e-06|9.08e-05|5.83e-06|1.18e-05|0.0000
G-2.76|2.82e-07|3.10e-06|1.50e-07|4.89e-07|0.0014
E-48.83|3.44e-04|3.44e-04|4.48e-05|2.75e-03|0.0015
E-15.620|7.31e-06|2.56e-05|4.89e-07|7.96e-05|0.0028
A-36.18|3.45e-07|3.80e-06|5.85e-08|2.03e-06|0.0051
A-41.56|3.37e-06|1.05e-04|3.72e-08|2.38e-04|0.0676
A-41.150|3.91e-06|1.21e-04|7.00e-08|1.67e-04|0.0043
D-29.3|4.44e-04|4.44e-04|2.44e-04|8.04e-04|0.0001
F-47.2|2.81e-06|2.81e-06|9.54e-07|8.62e-06|0.0000
G-24.32|1.65e-06|1.65e-06|7.94e-09|2.86e-04|0.1797
A-38.2|8.06e-08|1.09e-06|1.58e-08|4.94e-07|0.0000
E-15.392|1.16e-05|4.07e-05|1.34e-06|9.40e-05|0.0000
F-33.64|8.17e-07|8.17e-07|1.19e-07|5.08e-06|0.0000
G-2.13|6.93e-05|3.02e-04|5.10e-05|9.66e-05|0.0280
F-38.17|1.00e-06|1.00e-06|4.13e-07|2.42e-06|0.0047
D-21.31|3.43e-05|3.43e-05|1.24e-05|9.79e-05|0.0000
D-32.54|2.15e-04|2.15e-04|2.42e-05|2.24e-03|0.0000
D-32.52|3.09e-05|3.09e-05|5.79e-06|1.92e-04|0.0000
A-39.59|3.20e-04|4.91e-04|1.92e-04|5.14e-04|0.0583
D-32.68|5.70e-06|5.70e-06|2.08e-06|1.42e-05|0.0438
E-48.44|7.50e-04|7.50e-04|3.37e-04|1.70e-03|0.0000
F-11.36|3.78e-03|3.78e-03|1.80e-03|8.01e-03|0.4092
A-35.211|2.91e-05|2.47e-04|1.64e-05|4.92e-05|0.0000
A-38.68|1.66e-05|1.83e-04|7.63e-06|3.48e-05|0.0000
E-15.629|1.98e-06|6.94e-06|1.26e-07|2.80e-05|0.0007
E-15.281|6.70e-06|2.35e-05|2.09e-07|2.18e-04|0.0000
D-45.65|9.29e-04|9.29e-04|5.85e-04|1.44e-03|0.0013
D-43.253|9.88e-03|9.88e-03|7.76e-03|1.24e-02|0.1992
F-21.46|1.48e-03|1.48e-03|9.24e-04|2.29e-03|0.0000
